year,month,day,land,sea
2015,1,1,92,87
2015,1,2,128,117
2015,1,3,112,106
2015,1,4,85,69
2015,1,5,81,103
2015,1,6,77,100
2015,1,7,76,75
2015,1,8,39,43
2015,1,9,39,29
2015,1,10,85,66
2015,1,11,110,120
2015,1,12,72,86
2015,1,13,49,33
2015,1,14,51,41
2015,1,15,35,38
2015,1,16,57,29
2015,1,17,93,74
2015,1,18,89,74
2015,1,19,60,43
2015,1,20,54,45
2015,1,21,49,41
2015,1,22,45,48
2015,1,23,57,55
2015,1,24,118,69
2015,1,25,109,85
2015,1,26,81,70
2015,1,27,54,51
2015,1,28,68,54
2015,1,29,72,56
2015,1,30,40,41
2015,1,31,129,78
2015,2,1,94,89
2015,2,2,106,83
2015,2,3,113,99
2015,2,4,101,110
2015,2,5,60,94
2015,2,6,95,37
2015,2,7,130,98
2015,2,8,94,81
2015,2,9,89,70
2015,2,10,109,113
2015,2,11,140,117
2015,2,12,112,122
2015,2,13,86,80
2015,2,14,117,60
2015,2,15,125,104
2015,2,16,124,118
2015,2,17,84,101
2015,2,18,78,90
2015,2,19,111,125
2015,2,20,100,88
2015,2,21,135,132
2015,2,22,109,92
2015,2,23,118,105
2015,2,24,106,113
2015,2,25,121,128
2015,2,26,79,99
2015,2,27,95,72
2015,2,28,137,156
2015,3,1,95,80
2015,3,2,123,110
2015,3,3,95,95
2015,3,4,99,120
2015,3,5,104,112
2015,3,6,129,120
2015,3,7,129,126
2015,3,8,137,113
2015,3,9,146,120
2015,3,10,121,119
2015,3,11,133,125
2015,3,12,127,119
2015,3,13,130,112
2015,3,14,140,153
2015,3,15,158,147
2015,3,16,159,150
2015,3,17,152,163
2015,3,18,147,145
2015,3,19,139,149
2015,3,20,140,136
2015,3,21,154,151
2015,3,22,137,121
2015,3,23,128,127
2015,3,24,124,136
2015,3,25,150,143
2015,3,26,170,154
2015,3,27,161,149
2015,3,28,151,136
2015,3,29,141,145
2015,3,30,160,166
2015,3,31,173,173
2015,4,1,129,122
2015,4,2,143,121
2015,4,3,106,93
2015,4,4,94,86
2015,4,5,81,103
2015,4,6,118,110
2015,4,7,42,53
2015,4,8,22,33
2015,4,9,43,39
2015,4,10,22,22
2015,4,11,61,55
2015,4,12,65,74
2015,4,13,14,17
2015,4,14,18,20
2015,4,15,39,37
2015,4,16,49,43
2015,4,17,38,31
2015,4,18,84,68
2015,4,19,87,69
2015,4,20,23,30
2015,4,21,25,26
2015,4,22,47,43
2015,4,23,45,36
2015,4,24,46,48
2015,4,25,64,64
2015,4,26,83,70
2015,4,27,44,45
2015,4,28,50,54
2015,4,29,64,67
2015,4,30,47,50
2015,5,1,61,73
2015,5,2,65,55
2015,5,3,106,93
2015,5,4,124,124
2015,5,5,87,88
2015,5,6,70,64
2015,5,7,26,24
2015,5,8,40,35
2015,5,9,56,47
2015,5,10,68,56
2015,5,11,53,52
2015,5,12,37,35
2015,5,13,45,54
2015,5,14,56,61
2015,5,15,49,54
2015,5,16,79,87
2015,5,17,89,97
2015,5,18,56,62
2015,5,19,27,43
2015,5,20,49,61
2015,5,21,45,49
2015,5,22,63,69
2015,5,23,78,96
2015,5,24,68,98
2015,5,25,70,97
2015,5,26,39,54
2015,5,27,52,59
2015,5,28,53,56
2015,5,29,44,59
2015,5,30,93,121
2015,5,31,73,87
2015,6,1,90,98
2015,6,2,58,52
2015,6,3,25,38
2015,6,4,40,42
2015,6,5,54,61
2015,6,6,85,98
2015,6,7,67,83
2015,6,8,61,65
2015,6,9,20,29
2015,6,10,46,57
2015,6,11,32,37
2015,6,12,37,47
2015,6,13,97,123
2015,6,14,87,97
2015,6,15,44,57
2015,6,16,38,52
2015,6,17,44,56
2015,6,18,34,46
2015,6,19,29,44
2015,6,20,89,108
2015,6,21,72,87
2015,6,22,75,64
2015,6,23,33,36
2015,6,24,37,41
2015,6,25,39,45
2015,6,26,38,43
2015,6,27,72,80
2015,6,28,66,77
2015,6,29,61,62
2015,6,30,34,34
2015,7,1,32,34
2015,7,2,39,39
2015,7,3,36,35
2015,7,4,68,75
2015,7,5,44,58
2015,7,6,32,38
2015,7,7,36,39
2015,7,8,33,48
2015,7,9,32,31
2015,7,10,41,44
2015,7,11,79,92
2015,7,12,50,76
2015,7,13,44,47
2015,7,14,47,54
2015,7,15,43,55
2015,7,16,28,36
2015,7,17,28,24
2015,7,18,53,60
2015,7,19,77,83
2015,7,20,59,63
2015,7,21,51,54
2015,7,22,65,54
2015,7,23,54,49
2015,7,24,61,46
2015,7,25,58,59
2015,7,26,57,67
2015,7,27,58,63
2015,7,28,50,54
2015,7,29,62,60
2015,7,30,61,57
2015,7,31,51,51
2015,8,1,50,62
2015,8,2,52,69
2015,8,3,63,68
2015,8,4,61,73
2015,8,5,66,82
2015,8,6,67,77
2015,8,7,63,66
2015,8,8,55,62
2015,8,9,60,75
2015,8,10,89,123
2015,8,11,88,106
2015,8,12,80,98
2015,8,13,82,101
2015,8,14,91,104
2015,8,15,87,98
2015,8,16,74,78
2015,8,17,72,86
2015,8,18,79,88
2015,8,19,73,86
2015,8,20,70,70
2015,8,21,75,66
2015,8,22,67,77
2015,8,23,70,72
2015,8,24,93,81
2015,8,25,87,80
2015,8,26,63,68
2015,8,27,76,66
2015,8,28,63,62
2015,8,29,84,83
2015,8,30,81,88
2015,8,31,79,89
2015,9,1,53,53
2015,9,2,59,68
2015,9,3,62,62
2015,9,4,49,59
2015,9,5,77,95
2015,9,6,69,56
2015,9,7,41,51
2015,9,8,52,76
2015,9,9,35,55
2015,9,10,40,58
2015,9,11,54,77
2015,9,12,63,81
2015,9,13,65,87
2015,9,14,73,96
2015,9,15,71,86
2015,9,16,66,78
2015,9,17,35,47
2015,9,18,34,41
2015,9,19,60,76
2015,9,20,116,120
2015,9,21,149,149
2015,9,22,121,124
2015,9,23,104,114
2015,9,24,60,78
2015,9,25,29,46
2015,9,26,59,80
2015,9,27,66,87
2015,9,28,69,83
2015,9,29,64,67
2015,9,30,50,53
2015,10,1,68,60
2015,10,2,41,39
2015,10,3,73,86
2015,10,4,72,86
2015,10,5,68,86
2015,10,6,48,55
2015,10,7,49,58
2015,10,8,58,64
2015,10,9,64,60
2015,10,10,84,99
2015,10,11,91,110
2015,10,12,101,113
2015,10,13,71,84
2015,10,14,60,91
2015,10,15,58,82
2015,10,16,65,46
2015,10,17,82,105
2015,10,18,106,111
2015,10,19,67,86
2015,10,20,59,84
2015,10,21,53,98
2015,10,22,51,83
2015,10,23,60,83
2015,10,24,104,119
2015,10,25,90,107
2015,10,26,88,93
2015,10,27,50,61
2015,10,28,61,63
2015,10,29,57,64
2015,10,30,49,53
2015,10,31,79,67
2015,11,1,81,84
2015,11,2,77,90
2015,11,3,89,101
2015,11,4,72,66
2015,11,5,56,44
2015,11,6,49,37
2015,11,7,90,82
2015,11,8,72,74
2015,11,9,56,51
2015,11,10,35,36
2015,11,11,55,59
2015,11,12,60,59
2015,11,13,82,77
2015,11,14,80,89
2015,11,15,95,87
2015,11,16,89,85
2015,11,17,47,52
2015,11,18,30,34
2015,11,19,46,49
2015,11,20,54,48
2015,11,21,102,91
2015,11,22,128,135
2015,11,23,63,67
2015,11,24,71,63
2015,11,25,37,44
2015,11,26,39,50
2015,11,27,65,34
2015,11,28,112,121
2015,11,29,106,112
2015,11,30,58,57
2015,12,1,41,46
2015,12,2,41,50
2015,12,3,35,42
2015,12,4,28,68
2015,12,5,102,106
2015,12,6,95,112
2015,12,7,60,56
2015,12,8,43,52
2015,12,9,47,61
2015,12,10,50,56
2015,12,11,37,52
2015,12,12,113,118
2015,12,13,104,117
2015,12,14,54,59
2015,12,15,53,55
2015,12,16,53,61
2015,12,17,54,63
2015,12,18,53,50
2015,12,19,105,99
2015,12,20,105,108
2015,12,21,53,50
2015,12,22,67,60
2015,12,23,113,115
2015,12,24,77,86
2015,12,25,104,99
2015,12,26,67,81
2015,12,27,79,88
2015,12,28,107,115
2015,12,29,125,137
2015,12,30,131,150
2015,12,31,67,64
2016,1,1,92,78
2016,1,2,101,103
2016,1,3,87,92
2016,1,4,92,85
2016,1,5,85,75
2016,1,6,82,98
2016,1,7,63,70
2016,1,8,50,24
2016,1,9,61,56
2016,1,10,87,84
2016,1,11,49,52
2016,1,12,35,41
2016,1,13,50,39
2016,1,14,39,40
2016,1,15,48,30
2016,1,16,63,63
2016,1,17,69,59
2016,1,18,15,27
2016,1,19,34,60
2016,1,20,40,41
2016,1,21,38,37
2016,1,22,36,72
2016,1,23,39,53
2016,1,24,44,60
2016,1,25,34,28
2016,1,26,54,57
2016,1,27,59,54
2016,1,28,45,46
2016,1,29,25,43
2016,1,30,38,46
2016,1,31,54,81
2016,2,1,50,89
2016,2,2,73,52
2016,2,3,67,76
2016,2,4,71,72
2016,2,5,54,64
2016,2,6,71,88
2016,2,7,56,82
2016,2,8,50,45
2016,2,9,49,80
2016,2,10,60,85
2016,2,11,81,99
2016,2,12,71,77
2016,2,13,76,99
2016,2,14,44,70
2016,2,15,49,50
2016,2,16,62,89
2016,2,17,62,99
2016,2,18,61,75
2016,2,19,57,78
2016,2,20,67,81
2016,2,21,104,124
2016,2,22,68,76
2016,2,23,74,94
2016,2,24,77,115
2016,2,25,76,111
2016,2,26,77,68
2016,2,27,127,143
2016,2,28,105,148
2016,2,29,52,64
2016,3,1,41,68
2016,3,2,56,100
2016,3,3,68,123
2016,3,4,84,127
2016,3,5,125,138
2016,3,6,81,102
2016,3,7,65,126
2016,3,8,93,128
2016,3,9,66,117
2016,3,10,57,99
2016,3,11,79,126
2016,3,12,126,155
2016,3,13,124,154
2016,3,14,67,119
2016,3,15,108,148
2016,3,16,105,163
2016,3,17,113,163
2016,3,18,102,129
2016,3,19,87,103
2016,3,20,150,149
2016,3,21,144,149
2016,3,22,122,131
2016,3,23,114,127
2016,3,24,88,108
2016,3,25,107,105
2016,3,26,124,118
2016,3,27,127,111
2016,3,28,137,134
2016,3,29,168,165
2016,3,30,168,149
2016,3,31,140,128
2016,4,1,109,106
2016,4,2,87,88
2016,4,3,108,117
2016,4,4,116,125
2016,4,5,120,118
2016,4,6,97,99
2016,4,7,24,27
2016,4,8,35,31
2016,4,9,78,75
2016,4,10,58,60
2016,4,11,31,33
2016,4,12,35,45
2016,4,13,33,19
2016,4,14,28,15
2016,4,15,37,43
2016,4,16,80,73
2016,4,17,50,56
2016,4,18,29,44
2016,4,19,34,39
2016,4,20,34,47
2016,4,21,20,33
2016,4,22,38,49
2016,4,23,67,76
2016,4,24,56,76
2016,4,25,38,43
2016,4,26,29,38
2016,4,27,24,38
2016,4,28,31,45
2016,4,29,81,88
2016,4,30,68,76
2016,5,1,59,61
2016,5,2,76,104
2016,5,3,86,108
2016,5,4,56,76
2016,5,5,41,62
2016,5,6,43,53
2016,5,7,33,45
2016,5,8,61,48
2016,5,9,28,34
2016,5,10,20,31
2016,5,11,25,42
2016,5,12,37,51
2016,5,13,44,41
2016,5,14,69,93
2016,5,15,54,84
2016,5,16,36,46
2016,5,17,23,24
2016,5,18,42,42
2016,5,19,40,39
2016,5,20,36,43
2016,5,21,76,92
2016,5,22,71,82
2016,5,23,52,62
2016,5,24,32,40
2016,5,25,34,47
2016,5,26,37,44
2016,5,27,42,67
2016,5,28,75,103
2016,5,29,75,106
2016,5,30,62,66
2016,5,31,30,36
2016,6,1,33,42
2016,6,2,49,51
2016,6,3,48,59
2016,6,4,78,111
2016,6,5,61,92
2016,6,6,63,68
2016,6,7,34,41
2016,6,8,37,44
2016,6,9,23,29
2016,6,10,37,52
2016,6,11,74,118
2016,6,12,65,91
2016,6,13,33,48
2016,6,14,33,44
2016,6,15,42,54
2016,6,16,18,42
2016,6,17,32,52
2016,6,18,59,106
2016,6,19,52,100
2016,6,20,45,63
2016,6,21,20,36
2016,6,22,30,51
2016,6,23,21,44
2016,6,24,29,43
2016,6,25,56,98
2016,6,26,56,94
2016,6,27,59,67
2016,6,28,31,37
2016,6,29,33,55
2016,6,30,27,32
2016,7,1,39,50
2016,7,2,55,98
2016,7,3,44,73
2016,7,4,35,57
2016,7,5,33,55
